species_name,Survey 1,Survey 2,Survey 3,Survey 4,Survey 5,Survey 6,Survey 7,Survey 8,Survey 9,Survey 10,Survey 11,Survey 12,Survey 13,Survey 14,Survey 15,Survey 16,Survey 17,Survey 18,Survey 19,Survey 20,Survey 21,Survey 22,Survey 23,Survey 24,Survey 25,Survey 26,Survey 27,Survey 28,Survey 29,Survey 30,Survey 31,Survey 32,Survey 33,Survey 34,Survey 35,Survey 36,Survey 37,Survey 38,Survey 39,Survey 40,Survey 41,Survey 42,Survey 43
Chlorurus sordidus,7,4,5,4,5,3,14,7,6,7,6,8,9,6,4,8,7,6,5,9,4,8,1,4,4,3,0,7,6,0,1,9,6,5,8,0,6,7,11,4,11,0,0
Labroides dimidiatus,3,4,1,4,2,4,0,1,0,1,4,0,0,1,3,4,2,3,2,0,4,4,2,3,2,2,4,7,4,6,1,4,4,4,2,7,9,3,6,2,3,2,4
Ctenochaetus striatus,4,4,6,3,4,0,6,6,7,0,7,5,7,3,0,4,5,10,0,0,2,2,0,4,0,3,2,2,4,3,0,0,1,6,0,0,5,0,0,0,0,1,1
Thalassoma lunare,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,1,3,0,3,3,5,7,6,2,6,4,5,3,1,4,7,11,2,11,3,6
Scarus schlegeli,4,1,0,0,0,0,8,9,5,7,5,8,8,4,0,3,6,4,0,0,0,0,0,0,0,0,0,3,0,0,0,10,2,0,0,0,0,10,0,1,1,0,0
Thalassoma hardwicke,7,1,0,0,0,0,0,0,5,6,3,4,5,4,2,7,3,5,0,0,0,6,0,1,0,0,0,2,6,0,0,0,0,1,7,0,8,0,0,0,0,1,7
Zebrasoma scopas,3,1,5,4,7,0,0,2,0,0,2,2,5,1,0,6,5,4,0,0,0,4,2,2,0,4,3,2,5,2,0,0,0,6,0,0,6,1,0,0,0,1,0
Parupeneus multifasciatus,2,2,2,4,2,1,2,4,0,3,4,8,5,6,0,3,4,1,3,1,0,0,0,2,0,3,2,1,1,2,0,0,0,0,1,0,3,0,0,0,0,0,4
Pomacentrus moluccensis,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,4,4,3,3,0,4,3,4,4,2,0,2,2,1,0,0,4,1,6,0,3,0,5
Dascyllus flavicaudus,2,1,4,3,3,0,0,2,2,4,7,6,6,1,8,4,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gomphosus varius,5,4,1,3,1,1,0,0,1,0,0,0,2,0,5,2,0,6,9,3,1,4,0,1,0,2,0,0,6,0,0,0,0,0,3,0,2,0,0,0,0,0,0
Carcharhinus melanopterus,5,1,1,1,6,1,1,1,1,1,4,2,1,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1
Scolopsis bilineata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,2,1,3,2,5,2,3,5,0,0,0,4,4,5,4,5,2,4
Chlorurus microrhinos,0,4,0,0,0,0,3,7,7,5,0,5,3,4,0,2,0,1,2,3,3,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,3,0,0,0,2
Ctenochaetus flavicauda,5,4,2,4,2,0,0,0,2,7,0,1,0,3,5,4,7,1,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephalopholis argus,5,2,3,4,3,0,0,1,1,7,4,1,5,4,5,3,1,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Centropyge flavissima,2,4,3,4,1,0,4,2,2,4,1,5,2,4,2,4,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thalassoma amblycephalum,9,1,0,0,0,0,0,1,2,5,0,3,0,4,1,4,0,0,0,1,0,1,0,3,4,4,1,0,4,0,0,0,0,4,3,0,2,0,0,0,0,1,0
Stethojulis bandanensis,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,3,0,3,5,3,0,0,0,0,0,0,0,2,1,0,0,5,0,0,3,0,3,4,7,1,6,0,3
Acanthurus nigrofuscus,0,0,1,6,2,0,0,0,0,0,0,0,0,1,0,1,4,1,4,4,0,2,0,0,4,0,0,0,2,0,0,0,0,6,8,0,7,0,0,1,0,0,1
Thalassoma lutescens,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,10,3,0,0,7,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,6,5,0,4,0,0
Chromis atripectoralis,3,0,0,0,0,0,0,0,1,1,0,0,2,1,2,2,6,3,0,0,4,2,0,2,0,0,0,6,3,0,0,0,0,0,0,0,2,0,6,2,1,0,4
Pycnochromis margaritifer,1,0,3,1,2,2,0,0,0,6,0,2,0,2,4,2,4,0,0,0,0,0,0,3,4,4,3,0,0,0,0,0,0,4,2,0,2,0,0,0,0,1,0
Aulostomus chinensis,1,1,1,1,0,0,3,5,1,1,5,6,6,1,3,2,2,7,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarus niger,5,1,0,0,0,0,2,0,3,0,1,0,2,2,4,0,0,3,0,0,0,0,4,0,0,2,0,13,3,1,0,0,1,1,0,0,3,0,0,0,0,0,0
Chaetodon lunulatus,4,0,0,1,0,1,0,0,0,4,2,4,3,2,2,2,2,4,0,0,0,0,1,0,0,1,0,2,1,1,0,0,0,7,2,0,2,0,0,1,0,1,0
Dascyllus reticulatus,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,0,4,6,0,4,2,0,1,0,0,1,0,5,4,5,0,4,1,0
Halichoeres hortulanus,2,0,1,1,1,0,2,2,0,1,1,0,1,1,0,1,2,0,5,3,0,0,0,0,0,1,4,1,1,0,0,0,0,0,12,0,6,0,0,0,0,0,0
Stegastes lacrymatus,1,0,5,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,5,0,0,0,0,1,3,0,6,1,7,0,3,0,4
Pomacentrus coelestis,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,2,0,3,4,2,0,2,4,2,3,6,2,5,0,1
Balistapus undulatus,0,2,1,7,4,1,2,3,1,3,0,0,1,3,4,4,0,0,0,0,0,0,2,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zanclus cornutus,2,0,0,2,0,1,3,2,2,3,4,1,3,2,2,2,0,0,1,1,2,2,2,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0
Scarus rivulatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,6,0,0,4,4,0,0,0,0,0,4,4,2,8,0,0
Acanthochromis polyacanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,6,8,0,5,0,2,0,0,0,8,0,0,0,0,5,6
Pseudocheilinus hexataenia,1,3,0,4,2,2,0,0,0,0,0,1,0,0,2,2,4,0,4,0,0,0,3,4,0,2,2,0,0,0,0,0,0,2,1,0,4,0,1,0,0,0,0
Acanthurus nigricans,1,5,3,7,3,0,1,2,0,0,0,0,1,2,0,0,0,0,6,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetodon trifascialis,3,0,0,0,0,0,0,0,0,0,0,1,5,0,3,3,0,2,0,4,0,4,0,0,0,0,2,0,1,1,0,0,0,2,4,0,1,1,4,0,1,0,1
Chaetodon pelewensis,2,4,1,0,3,0,2,2,0,1,1,2,3,2,2,3,0,2,4,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halichoeres melanurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,8,2,6,0,0,0,7,6,8,0,0,0,0,0,0,0
Neoglyphidodon nigroris,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,3,4,6,3,4,3,0,0,7,0,0,0,0,0,0,0,0,0
Dascyllus aruanus,0,0,0,0,0,3,0,0,2,0,4,4,4,2,0,4,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,2,2,0,3,0,0
Pomacentrus vaiuli,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,4,0,0,0,0,4,4,6,0,3,1,0
Paracirrhites arcatus,0,4,5,5,4,1,0,0,0,0,0,0,0,0,3,1,1,1,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Labroides bicolor,2,3,0,0,1,0,0,1,1,3,3,0,3,1,2,2,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0
Stegastes obreptus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,7,6,1,6,0,0
Hemigymnus melapterus,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,6,0,1,2,0,0,0,2,0,0,1,0,1,5,0,0,0,1,4,4,1,0,4
Halichoeres nebulosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,5,1,0,4,0,0,4,1,3,7,0,4
Epibulus insidiator,2,3,2,0,0,0,0,4,0,1,0,2,0,3,3,1,0,1,3,2,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Forcipiger flavissimus,0,1,1,2,1,0,4,4,2,5,1,4,1,0,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Naso brevirostris,0,0,0,0,0,0,1,0,0,5,0,6,0,4,3,2,0,0,0,8,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naso vlamingii,3,0,0,0,0,0,0,2,3,2,0,5,3,2,2,2,1,0,0,2,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hipposcarus longiceps,4,0,0,0,0,0,2,1,1,5,0,5,1,3,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
Thalassoma quinquevittatum,4,4,0,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Chaetodon ulietensis,3,2,0,0,0,0,2,2,1,4,2,1,3,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pomacentrus brachialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,4,6,6,4,0,0,0,0,0,0,0,0,0,0,0,4,0
Chromis ternatensis,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,4,4,2,4,0,0,0,6,0,0,2,0,0,0,0,0,0
Cheilinus chlorourus,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,1,5,0,5,4,0,6,0,0
Centropyge bispinosa,1,0,2,0,3,1,4,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halichoeres trimaculatus,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,8
Zebrasoma velifer,2,2,0,0,0,0,0,1,0,3,0,2,0,1,0,1,4,2,2,0,1,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,1
Pomacentrus amboinensis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,2,2,6,4,0,0,0,0,0,3,0,0,0,0,0,0,4
Plectroglyphidodon johnstonianus,0,4,0,4,4,0,0,0,0,0,0,1,0,1,0,0,0,3,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cheilinus trilobatus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,5,6,1,2,3,0,1,0,1
r,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,2,7,2,0,0,0,0,3,0,0,0,1,4,0,0,0,0
Amblyglyphidodon leucogaster,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,4,6,1,3,0,0,0,1,0,0,0,0,0,0,0,2,0
Chromis viridis,2,0,0,0,0,0,0,0,1,2,0,3,2,0,0,2,4,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,2
Ctenochaetus binotatus,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,2,4,2,0,0,0,0,4,0,4,0,0,0,0,3,0
Naso lituratus,0,0,3,2,2,0,0,1,1,0,6,1,0,1,2,1,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Chaetodon citrinellus,2,0,0,0,0,0,0,0,2,1,3,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,3,0,0,0,3,0,0
Pycnochromis iomelas,0,4,3,3,2,0,2,3,2,0,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetodon auriga,1,0,0,0,0,0,1,0,0,0,2,0,1,2,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,2,2,1,0,1
Lutjanus bohar,1,3,0,0,0,0,3,4,0,0,0,0,0,1,0,2,1,1,2,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pomacentrus bankanensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0,2,4,6,0,4,0,0,0,0,0,4
Plectropomus laevis,2,0,0,0,0,0,0,2,0,0,2,1,7,2,0,1,3,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myripristis violacea,0,3,0,0,0,0,0,0,0,0,0,6,0,1,2,0,0,0,0,0,0,0,1,1,2,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
